stn_code,stn_name,altitude,Longitude,Latitude,city,address,data_start_date,stn_end_date,comment,orig_stn_code,new_stn_code
C1E691,南湖,786.0,120.83753300000001,24.40135,苗栗縣,大湖鄉(位於南湖台3線135k處之吊樑道山上),2011/11/01,,原(C1E690)站因儀器汰換，於2011/11/1更變為(C1E691)站。,C1E690,
C1E701,八卦,737.0,120.92761899999999,24.491756,苗栗縣,泰安鄉(與八卦派出所相距約1.2k處),2011/11/01,,原(C1E700)站因儀器汰換，於2011/11/1更變為(C1E701)站。,C1E700,
C1E711,馬拉邦山,990.0,120.901656,24.367306,苗栗縣,大湖鄉東興村(馬拉邦山登山口),2011/11/01,,原(C1E710)站因儀器汰換，於2011/11/1更變為(C1E711)站。,C1E710,
C1E721,泰安,1409.0,120.96803600000001,24.489017,苗栗縣,泰安鄉橫龍古道上(走路約5分鐘)之大湖事業區18林班地,2011/11/01,,原(C1E720)站因儀器汰換，於2011/11/1更變為(C1E721)站。,C1E720,
C1E770,公館,83.0,120.83080600000001,24.526914,苗栗縣,公館鄉鶴岡村178號(鶴岡國中),2011/04/24,,,,
C1F871,上谷關,1000.0,121.018644,24.203483,臺中市,和平區(博愛國小谷關分校附近),2011/11/01,,原(C1F870)站因儀器汰換，於2011/11/1更變為(C1F871)站。,C1F870,
C1F891,稍來,2205.0,121.00114199999999,24.265689000000002,臺中市,和平區八仙山事業區49林班地船型山苗圃廢棄觀測坪附近,2011/11/01,,原(C1F890)站因儀器汰換，於2011/11/1更變為(C1F891)站。,C1F890,
C1F911,新伯公,417.0,120.84106899999999,24.221360999999998,臺中市,東勢區詒福段163地號(台電公司門前右前方),2011/11/01,,原(C1F910)站因儀器汰換，於2011/11/1更變為(C1F911)站。,C1F910,
C1F941,雪嶺,2620.0,121.026642,24.280586,臺中市,和平區雪嶺地區八仙山事業區60林班地小雪山莊後方水塔後山頂,2011/11/1,,原(C1F940)站因儀器汰換，於2011/11/1更變為(C1F941)站。,C1F940,
C1F9B1,桐林,130.0,120.73519399999999,24.066172,臺中市,霧峰區桐林里民生路(桐林國小斜對面),2011/11/01,,原(C1F9B0)站因儀器汰換，於2011/11/1更變為(C1F9B1)站。,C1F9B0,
